id;director;actors
;Christopher Nolan;Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine
;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe
;Nitesh Tiwari;Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra
;Christopher Nolan;Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy
;Makoto Shinkai;Rynosuke Kamiki, Mone Kamishiraishi, Ry Narita, Aoi Yuki
;Olivier Nakache;Franaaois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot
;Christopher Nolan;Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine
;Martin Scorsese;Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg
;Christopher Nolan;Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman
;Damien Chazelle;Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser
;Florian Henckel von Donnersmarck;Ulrich Möhe, Martina Gedeck,Sebastian Koch, Ulrich Tukur
;Aamir Khan;Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer
;Quentin Tarantino;Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington
;Rajkumar Hirani;Aamir Khan, Madhavan, Mona Singh, Sharman Joshi
;Andrew Stanton;Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard
;Naoko Yamada;Miyu Irino, Saori Hayami, Aoi Yuki, KenshÃ´ Ono
;Damien Chazelle;Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons
;S.S. Rajamouli;Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia
;Quentin Tarantino;Brad Pitt, Diane Kruger, Eli Roth,MÃ©lanie Laurent
;Thomas Vinterberg;Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstram
;Amber Tamblyn;Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina
;Pete Docter;Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer
;Lee Unkrich;Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty
;Mel Gibson;Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer
;Martin Scorsese;Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey
;Lenny Abrahamson;Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson
;Gavin O'Connor;Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison
;Guillermo del Toro;Ivana Baquero, Ariadna Gil, Sergi Lpez,Maribel Verd
;Pete Docter;Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling
;Clint Eastwood;Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her
;Denis Villeneuve;Lubna Azabal, Mlissaormeaux-Poulin, Maxim Gaudette, Mustafa Kamel
;Juan Josa Campanella;Ricardo, Soledad Villamil, Pablo Rago,Carla Quevedo
;Rajkumar Hirani;Aamir Khan, Anushka Sharma, Sanjay Dutt,Boman Irani
;James Gunn;Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana
;Garth Davis;Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar
;J.J. Abrams;Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson
;George Miller;Tom Hardy, Charlize Theron, Nicholas Hoult, ZoÃ« Kravitz
;Byron Howard;Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate
;Joss Whedon;Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner
;David Fincher;Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry
;Denis Villeneuve;Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo
;Tate Taylor;Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard
;Steve McQueen;Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt
;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon
;Ethan Coen;Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson
;Martin Scorsese;Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley
;Chan-wook Park;Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon
;David Lynch;Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder
;Tom McCarthy;Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber
;Sean Penn;Charlize Theron, Javier Bardem, Adle Exarchopoulos,Jared Harris
