id;Title;Genre;reviewers_id INT;movies_id INT;;;"""The Dark Knight""";"""Action,Crime,Drama"""
;The Dark Knight;Action,Crime,Drama;1;1;;;"""Inception""";"""Action,Adventure,Sci-Fi"""
;Inception;Action,Adventure,Sci-Fi;2;2;;;"""Dangal""";"""Action,Biography,Drama"""
;Dangal;Action,Biography,Drama;3;3;;;"""Interstellar""";"""Adventure,Drama,Sci-Fi"""
;Interstellar;Adventure,Drama,Sci-Fi;4;4;;;"""Kimi no na wa""";"""Animation,Drama,Fantasy"""
;Kimi no na wa;Animation,Drama,Fantasy;5;5;;;"""The Intouchables""";"""Biography,Comedy,Drama"""
;The Intouchables;Biography,Comedy,Drama;6;6;;;"""The Prestige""";"""Drama,Mystery,Sci-Fi"""
;The Prestige;Drama,Mystery,Sci-Fi;7;7;;;"""The Departed""";"""Crime,Drama,Thriller"""
;The Departed;Crime,Drama,Thriller;8;8;;;"""The Dark Knight Rises""";"""Action,Thriller"""
;The Dark Knight Rises;Action,Thriller;9;9;;;"""Whiplash""";"""Drama,Music"""
;Whiplash;Drama,Music;10;10;;;"""The Lives of Others""";"""Drama,Thriller"""
;The Lives of Others;Drama,Thriller;11;11;;;"""Taare Zameen Par""";"""Drama,Family,Music"""
;Taare Zameen Par;Drama,Family,Music;12;12;;;"""Django Unchained""";"""Drama,Western"""
;Django Unchained;Drama,Western;13;13;;;"""3 Idiots""";"""Comedy,Drama"""
;3 Idiots;Comedy,Drama;14;14;;;"""WALL-E""";"""Animation,Adventure,Family"""
;WALL-E;Animation,Adventure,Family;15;15;;;"""Koe no katachi""";"""Animation,Drama,Romance"""
;Koe no katachi;Animation,Drama,Romance;16;16;;;"""La La Land""";"""Comedy,Drama,Music"""
;La La Land;Comedy,Drama,Music;17;17;;;"""Bahubali: The Beginning""";"""Action,Adventure,Drama"""
;Bahubali: The Beginning;Action,Adventure,Drama;18;18;;;"""Inglourious Basterds""";"""Adventure,Drama,War"""
;Inglourious Basterds;Adventure,Drama,War;19;19;;;"""Jagten""";"""Drama"""
;Jagten;Drama;20;20;;;"""Paint It Black""";"""Drama"""
;Paint It Black;Drama;21;21;;;"""Up""";"""Animation,Adventure,Comedy"""
;Up;Animation,Adventure,Comedy;22;22;;;"""Toy Story 3""";"""Animation,Adventure,Comedy"""
;Toy Story 3;Animation,Adventure,Comedy;23;23;;;"""Hacksaw Ridge""";"""Biography,Drama,History"""
;Hacksaw Ridge;Biography,Drama,History;24;24;;;"""The Wolf of Wall Street""";"""Biography,Comedy,Crime"""
;The Wolf of Wall Street;Biography,Comedy,Crime;25;25;;;"""Room""";"""Drama"""
;Room;Drama;26;26;;;"""Warrior""";"""Action,Drama,Sport"""
;Warrior;Action,Drama,Sport;27;27;;;"""Pan's Labyrinth""";"""Drama,Fantasy,War"""
;Pan's Labyrinth;Drama,Fantasy,War;28;28;;;"""Inside Out""";"""Animation,Adventure,Comedy"""
;Inside Out;Animation,Adventure,Comedy;29;29;;;"""Gran Torino""";"""Drama"""
;Gran Torino;Drama;30;30;;;"""Incendies""";"""Drama,Mystery,War"""
;Incendies;Drama,Mystery,War;31;31;;;"""El secreto de sus ojos""";"""Drama,Mystery,Romance"""
;El secreto de sus ojos;Drama,Mystery,Romance;32;32;;;"""PK""";"""Comedy,Drama,Romance"""
;PK;Comedy,Drama,Romance;33;33;;;"""Guardians of the Galaxy""";"""Action,Adventure,Sci-Fi"""
;Guardians of the Galaxy;Action,Adventure,Sci-Fi;34;34;;;"""Lion""";"""Biography,Drama"""
;Lion;Biography,Drama;35;35;;;"""Star Wars: Episode VII - The Force Awakens""";"""Action,Adventure,Fantasy"""
;Star Wars: Episode VII - The Force Awakens;Action,Adventure,Fantasy;36;36;;;"""Mad Max: Fury Road""";"""Action,Adventure,Sci-Fi"""
;Mad Max: Fury Road;Action,Adventure,Sci-Fi;37;37;;;"""Zootopia""";"""Animation,Adventure,Comedy"""
;Zootopia;Animation,Adventure,Comedy;38;38;;;"""The Avengers""";"""Action,Sci-Fi"""
;The Avengers;Action,Sci-Fi;39;39;;;"""Gone Girl""";"""Crime,Drama,Mystery"""
;Gone Girl;Crime,Drama,Mystery;40;40;;;"""Prisoners""";"""Crime,Drama,Mystery"""
;Prisoners;Crime,Drama,Mystery;41;41;;;"""The Help""";"""Drama"""
;The Help;Drama;42;42;;;"""12 Years a Slave""";"""Biography,Drama,History"""
;12 Years a Slave;Biography,Drama,History;43;43;;;"""Harry Potter and the Deathly Hallows: Part 2""";"""Adventure,Drama,Fantasy"""
;Harry Potter and the Deathly Hallows: Part 2;Adventure,Drama,Fantasy;44;44;;;"""No Country for Old Men""";"""Crime,Drama,Thriller"""
;No Country for Old Men;Crime,Drama,Thriller;45;45;;;"""Shutter Island""";"""Mystery,Thriller"""
;Shutter Island;Mystery,Thriller;46;46;;;"""Ah-ga-ssi""";"""Drama,Mystery,Romance"""
;Ah-ga-ssi;Drama,Mystery,Romance;47;47;;;"""Twin Peaks: The Missing Pieces""";"""Drama,Horror,Mystery"""
;Twin Peaks: The Missing Pieces;Drama,Horror,Mystery;48;48;;;"""Spotlight""";"""Crime,Drama,History"""
;Spotlight;Crime,Drama,History;49;49;;;"""The Last Face""";"""Drama"""
;The Last Face;Drama;50;50;;;;
