id;year;runtime (minutes);revenue (Millions)
;2008;152;533.32
;2010;148;292.57
;2016;161;11.15
;2014;169;187.99
;2016;106;4.68
;2011;112;13.18
;2006;130;53.08
;2006;151;132.37
;2012;164;448.13
;2014;107;13.09
;2006;137;11.28
;2007;165;1.2
;2012;165;162.8
;2009;170;6.52
;2008;98;223.81
;2016;129;
;2016;128;151.06
;2015;159;6.5
;2009;153;120.52
;2012;115;0.61
;2016;96;
;2009;96;292.98
;2010;103;414.98
;2016;139;67.12
;2013;180;116.87
;2015;118;14.68
;2011;140;13.65
;2006;118;37.62
;2015;95;356.45
;2008;116;148.09
;2010;131;6.86
;2009;129;20.17
;2014;153;10.57
;2014;121;333.13
;2016;118;51.69
;2015;136;936.63
;2015;120;153.63
;2016;108;341.26
;2012;143;623.28
;2014;149;167.74
;2013;153;60.96
;2011;146;169.71
;2013;134;56.67
;2011;130;380.96
;2007;122;74.27
;2010;138;127.97
;2016;144;2.01
;2014;91;
;2015;128;44.99
;2007;148;18.35
