id;rating;reviewers_FK;movies_FK
;7.29;1;1
;1.65;1;2
;8.98;1;3
;2.47;1;4
;4.93;1;5
;4.86;1;6
;2.59;1;7
;7.73;1;8
;5.03;1;9
;3.29;1;10
;2.59;1;11
;3.43;1;12
;8.82;1;13
;8.00;1;14
;8.53;1;15
;1.40;1;16
;6.50;1;17
;3.24;1;18
;7.29;1;19
;5.81;1;20
;4.44;1;21
;7.18;1;22
;7.38;1;23
;5.98;1;24
;8.86;1;25
;5.51;1;26
;8.75;1;27
;3.40;1;28
;7.00;1;29
;7.18;1;30
;4.13;1;31
;1.59;1;32
;4.52;1;33
;6.33;1;34
;5.83;1;35
;7.28;1;36
;8.32;1;37
;1.19;1;38
;1.39;1;39
;7.88;1;40
;6.36;1;41
;3.73;1;42
;6.57;1;43
;7.14;1;44
;5.56;1;45
;7.70;1;46
;2.57;1;47
;3.28;1;48
;6.11;1;49
;1.39;1;50
;1.51;2;1
;6.11;2;2
;4.85;2;3
;8.87;2;4
;2.61;2;5
;6.82;2;6
;3.84;2;7
;3.57;2;8
;4.88;2;9
;5.28;2;10
;3.03;2;11
;5.74;2;12
;1.03;2;13
;1.58;2;14
;2.64;2;15
;1.87;2;16
;3.48;2;17
;3.13;2;18
;7.42;2;19
;2.24;2;20
;4.20;2;21
;1.81;2;22
;8.08;2;23
;2.03;2;24
;3.55;2;25
;3.79;2;26
;6.05;2;27
;2.60;2;28
;6.33;2;29
;4.91;2;30
;4.56;2;31
;3.48;2;32
;4.94;2;33
;4.34;2;34
;1.75;2;35
;7.88;2;36
;8.29;2;37
;8.02;2;38
;5.72;2;39
;6.17;2;40
;6.40;2;41
;7.50;2;42
;4.91;2;43
;7.15;2;44
;5.89;2;45
;6.24;2;46
;2.15;2;47
;5.98;2;48
;5.84;2;49
;5.53;2;50
;1.63;3;1
;6.20;3;2
;4.34;3;3
;3.32;3;4
;3.99;3;5
;4.29;3;6
;1.53;3;7
;2.45;3;8
;6.99;3;9
;8.84;3;10
;7.52;3;11
;3.64;3;12
;1.74;3;13
;6.59;3;14
;7.42;3;15
;1.89;3;16
;4.48;3;17
;4.83;3;18
;6.61;3;19
;2.54;3;20
;1.94;3;21
;5.45;3;22
;7.31;3;23
;6.23;3;24
;8.73;3;25
;3.74;3;26
;8.77;3;27
;6.09;3;28
;7.47;3;29
;1.33;3;30
;8.74;3;31
;1.79;3;32
;5.48;3;33
;5.69;3;34
;3.48;3;35
;3.91;3;36
;6.81;3;37
;3.18;3;38
;2.12;3;39
;2.42;3;40
;7.53;3;41
;5.20;3;42
;3.25;3;43
;5.60;3;44
;8.56;3;45
;4.37;3;46
;5.83;3;47
;7.21;3;48
;5.25;3;49
;5.80;3;50
;7.13;4;1
;2.49;4;2
;3.65;4;3
;1.14;4;4
;1.39;4;5
;5.89;4;6
;8.91;4;7
;7.38;4;8
;6.81;4;9
;1.54;4;10
;3.48;4;11
;3.91;4;12
;3.62;4;13
;1.56;4;14
;5.04;4;15
;1.88;4;16
;4.23;4;17
;3.78;4;18
;1.31;4;19
;6.38;4;20
;5.29;4;21
;8.29;4;22
;7.10;4;23
;1.71;4;24
;3.46;4;25
;7.23;4;26
;7.96;4;27
;8.91;4;28
;3.65;4;29
;4.41;4;30
;5.21;4;31
;8.04;4;32
;5.01;4;33
;8.04;4;34
;3.91;4;35
;5.69;4;36
;1.17;4;37
;4.94;4;38
;8.06;4;39
;5.07;4;40
;3.56;4;41
;2.16;4;42
;3.67;4;43
;4.92;4;44
;2.68;4;45
;4.21;4;46
;4.34;4;47
;6.41;4;48
;3.35;4;49
;5.65;4;50
;8.74;5;1
;7.51;5;2
;6.85;5;3
;5.02;5;4
;6.31;5;5
;8.32;5;6
;3.06;5;7
;5.99;5;8
;1.11;5;9
;6.56;5;10
;6.50;5;11
;2.14;5;12
;1.44;5;13
